KSAT
Software Version	1.3.22
Firmware Version	1.4
Last setting of the zero point	1/1/0001
Serial Number	0075

File name	Schreiber1_000

MEASUREMENT
Mode	ConstantHead
Sample rate [s]	1
Crown type	FilterPlateCrown
Use Synthetic Data	True

PARAMETERS
OPERATION PARAMETERS
H_end_abs [cm]	0.5	Hydraulic head difference at stop of measurement
3/29/2016 10:35:04 AM	35.01	4.456	21.050
3/29/2016 10:35:06 AM	36.55	4.518	21.050
3/29/2016 10:35:07 AM	38.03	4.555	21.050
3/29/2016 10:35:09 AM	39.55	4.467	21.050
3/29/2016 10:35:10 AM	41.00	4.443	21.050
3/29/2016 10:35:12 AM	42.51	4.413	21.050
3/29/2016 10:35:13 AM	44.02	4.380	21.050
3/29/2016 10:35:15 AM	45.57	4.314	21.050
3/29/2016 10:35:17 AM	47.17	4.314	21.050
3/29/2016 10:35:18 AM	48.64	4.343	21.050
3/29/2016 10:35:20 AM	50.29	4.404	21.050
3/29/2016 10:35:21 AM	51.76	4.532	21.050
3/29/2016 10:35:23 AM	53.37	4.460	21.050
3/29/2016 10:35:24 AM	54.91	4.430	21.050
3/29/2016 10:35:26 AM	56.58	4.399	21.050
3/29/2016 10:35:27 AM	58.06	4.350	21.050
3/29/2016 10:35:29 AM	59.65	4.301	21.050
3/29/2016 10:35:31 AM	61.20	4.337	21.050
3/29/2016 10:35:32 AM	62.71	4.355	21.050
3/29/2016 10:35:34 AM	64.41	4.488	21.050
3/29/2016 10:35:35 AM	65.93	4.471	21.050
3/29/2016 10:35:37 AM	67.47	4.433	21.050
3/29/2016 10:35:38 AM	69.11	4.399	21.050
3/29/2016 10:35:40 AM	70.79	4.441	21.060
3/29/2016 10:35:42 AM	72.32	4.407	21.060
3/29/2016 10:35:43 AM	73.87	4.354	21.060
3/29/2016 10:35:45 AM	75.50	4.302	21.060
3/29/2016 10:35:46 AM	77.03	4.335	21.060
3/29/2016 10:35:48 AM	78.67	4.364	21.060
3/29/2016 10:35:50 AM	80.18	4.489	21.060
3/29/2016 10:35:51 AM	81.76	4.487	21.060
3/29/2016 10:35:53 AM	83.30	4.559	21.060
3/29/2016 10:35:54 AM	84.91	4.459	21.060
3/29/2016 10:35:56 AM	86.39	4.423	21.060
3/29/2016 10:35:57 AM	88.00	4.387	21.060
3/29/2016 10:35:59 AM	89.54	4.313	21.060
3/29/2016 10:36:00 AM	91.13	4.323	21.060
3/29/2016 10:36:02 AM	92.71	4.335	21.060
3/29/2016 10:36:04 AM	94.26	4.561	21.060
3/29/2016 10:36:05 AM	95.86	4.476	21.060
3/29/2016 10:36:07 AM	97.47	4.438	21.060
3/29/2016 10:36:08 AM	99.03	4.399	21.060
3/29/2016 10:36:10 AM	100.63	4.326	21.060
3/29/2016 10:36:12 AM	102.16	4.318	21.060
3/29/2016 10:36:13 AM	103.83	4.327	21.060
3/29/2016 10:36:15 AM	105.38	4.470	21.060
3/29/2016 10:36:16 AM	107.05	4.468	21.060
3/29/2016 10:36:18 AM	108.59	4.493	21.060
3/29/2016 10:36:20 AM	110.24	4.475	21.060
3/29/2016 10:36:21 AM	111.88	4.563	21.060
3/29/2016 10:36:23 AM	113.43	4.456	21.060
3/29/2016 10:36:24 AM	115.03	4.414	21.060
3/29/2016 10:36:26 AM	116.64	4.351	21.060
3/29/2016 10:36:28 AM	118.22	4.314	21.060
3/29/2016 10:36:29 AM	119.76	4.324	21.060
3/29/2016 10:36:31 AM	121.30	4.468	21.070
3/29/2016 10:36:32 AM	122.91	4.468	21.070
3/29/2016 10:36:34 AM	124.46	4.427	21.070
3/29/2016 10:36:36 AM	126.20	4.461	21.070
3/29/2016 10:36:37 AM	127.70	4.419	21.070
3/29/2016 10:36:39 AM	129.37	4.368	21.070
3/29/2016 10:36:40 AM	130.90	4.307	21.080
3/29/2016 10:36:42 AM	132.49	4.323	21.080
3/29/2016 10:36:43 AM	134.03	4.443	21.080
3/29/2016 10:36:45 AM	135.63	4.468	21.080
3/29/2016 10:36:47 AM	137.20	4.569	21.080
3/29/2016 10:36:48 AM	138.78	4.455	21.080
3/29/2016 10:36:50 AM	140.45	4.412	21.080
3/29/2016 10:36:51 AM	142.01	4.338	21.090
3/29/2016 10:36:53 AM	143.66	4.323	21.090
3/29/2016 10:36:55 AM	145.27	4.323	21.090
3/29/2016 10:36:56 AM	146.89	4.328	21.090
3/29/2016 10:36:58 AM	148.50	4.386	21.090
3/29/2016 10:36:59 AM	150.13	4.486	21.090
3/29/2016 10:37:01 AM	151.71	4.434	21.090
3/29/2016 10:37:03 AM	153.35	4.382	21.090
