Cup Number,Detection Date,Sample ID,Analyte Name,Concentration Units,Peak Concentration,Calibration equation,Peak Area,Analyte Name,Concentration Units,Peak Concentration,Calibration equation,Peak Area,,,,,,,,,,,,,,,
22,3/17/2016,jrad_CEC 022,Nitrate,mg/L,0.003811,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.043,Ammonia,mg N/L as NH3,12.369,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,80.807,,,NK-Bt-4,,1.717916667,,1.717916667,,,,NK-Ap,3.5625,,,
23,3/17/2016,jrad_CEC 023,Nitrate,mg/L,0.031,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.062,Ammonia,mg N/L as NH3,11.956,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,78.31,,,NK-Bt-5,,1.660555556,,1.660555556,,,,NK-Ap,3.548611111,,,
24,3/17/2016,jrad_CEC 024,Nitrate,mg/L,-0.00789,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.034,Ammonia,mg N/L as NH3,13.15,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,85.496,,,NK-Bt-6,,1.826388889,,1.826388889,,,,NK-Ap,3.4,,,
25,3/17/2016,Blank,Nitrate,mg/L,-0.06,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,-0.004452,Ammonia,mg N/L as NH3,-0.112,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,-0.033,,,,,,,,,,,NK-Ap,3.008333333,,,
26,3/17/2016,jrad_CEC_1 1:10,Nitrate,mg/L,-0.036,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.014,Ammonia,mg N/L as NH3,3.55,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,24.97,,,KF-Ap-1,,4.930555556,,,,,,NK-Ap,4.345833333,,,
27,3/17/2016,jrad_CEC_2,Nitrate,mg/L,-0.04,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.011,Ammonia,mg N/L as NH3,3.726,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,26.143,,,KF-Ap-2,,5.175,,,,,,NK-Ap,2.991666667,,,
28,3/17/2016,jrad_CEC_3,Nitrate,mg/L,-0.039,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.012,Ammonia,mg N/L as NH3,3.574,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,25.134,,,KF-Ap-3,,4.963888889,,,,,,NK-Bt,2.361527778,,,
29,3/17/2016,jrad_CEC_4,Nitrate,mg/L,-0.032,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.017,Ammonia,mg N/L as NH3,3.25,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,22.967,,,KF-Ap-4,,4.513888889,,,,,,NK-Bt,1.988194444,,,
30,3/17/2016,jrad_CEC_5,Nitrate,mg/L,-0.034,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,0.015,Ammonia,mg N/L as NH3,3.179,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,22.496,,,KF-Ap-5,,4.415277778,,,,,,NK-Bt,1.393333333,,,
S3,3/17/2016,5ppm NO3, 5ppm NH4 check,Nitrate,mg/L,4.805,Conc = 4.739e-3 * Area^2 + 1.363 * Area - 0.054,3.523,Ammonia,mg N/L as NH3,5.023,Conc = 1.424e-4 * Area^2 + 0.143 * Area - 0.107,34.703,,,,,,,,,,NK-Bt,1.717916667,,,
