Sample.ID,Interval,Texture,Stage,Combo,TMX,,,,,,,,,,,,,
kf-v5-2,45-60 cm,Clay,V5,Clay-V5,0.53,,,,,,,,,,,,,
kf-v5-4 ,45-60 cm,Clay,V5,Clay-V5,0.73,,,,,,,,,,,,,
kf-v5-5,45-60 cm,Clay,V5,Clay-V5,2.08,,,,,,,,,,,,,
kf-v5-ctr-1,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,1.77,,,,,,,,,,,,,
kf-v5-ctr-2,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,0.92,,,,,,,,,,,,,
kf-v5-ctr-4 ,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,2.02,,,,,,,,,,,,,
kf-v5-ctr-5  ,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,0.70,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
